,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,other_info
61,"[[0], [2, 3], [], [3], [1], [4]]",2.1846272071708634,5,_log_(x[4]),"[1, 2, 0, 1, 1, 1]",_log_(x[4]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
62,"[[0], [2, 2, 2, 3], [2, 1, 3, 2, 4], [2, 4, 2, 0], [0, 0, 1, 0, 2, 0, 0, 0, 1], [1]]",2.1881817155182857,6,_exp_(_inv_(_exp_(x[0]))),"[1, 4, 0, 3, 1, 0]",_exp_(_inv_(_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
63,"[[0], [2, 4, 2, 3, 4, 3, 2, 2, 3], [], [2, 3, 4, 3], [2, 1, 2], [4]]",2.189447120178992,8,_exp_(_log_(Constant)/(x[4]/(_inv_(_log_(Constant))*x[5])*x[5])),"[1, 9, 0, 4, 3, 1]",_exp_(_log_(0.5942250656041724)/(x[4]/(_inv_(_log_(0.723323292631134))*x[5])*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
64,"[[0], [2, 2, 2, 3], [], [2, 0, 0], [1], [1]]",2.1965572318909548,7,_exp_(sin(sin(x[1]))),"[1, 4, 0, 3, 1, 1]",_exp_(sin(sin(x[1]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
65,"[[0], [1, 3, 3], [1], [], [0, 2], []]",2.2284638989299554,4,(x[0]-Constant),"[1, 3, 1, 0, 2, 0]",(x[0]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
66,"[[0], [2, 4, 2, 3, 4, 3, 2, 2, 3], [2], [2, 3, 4, 3], [0, 1, 1], [4, 4]]",2.2467162486882604,9,_exp_(_log_(x[0])/(x[4]/(_inv_(_log_(x[4]))*x[5])*x[5])),"[1, 9, 0, 4, 3, 2]",_exp_(_log_(x[0])/(x[4]/(_inv_(_log_(x[4]))*x[5])*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
67,"[[0], [0, 0, 3, 1, 1, 0, 3, 3, 4, 3, 3, 1, 3, 2, 3, 1, 0, 4, 0, 3, 3, 3, 1, 1, 3, 3, 3, 4, 2, 0, 3, 3, 4, 0, 3, 3, 3], [4, 2, 2, 0, 1, 4, 1, 1, 3, 0, 0, 4, 2], [1, 1], [0, 2, 0, 0, 1, 0, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2], [3, 2]]",2.2598021422538697,9,x[0]**((Constant*x[0]*x[0]/(x[3]*x[5]))+(x[0]-cos(x[2])))**(x[0]-x[0]/(Constant*x[5])-((Constant|_div_|Constant)+Constant)+cos(x[0]**x[0])/(x[0]*x[0]/(Constant*x[5])*x[5])),"[1, 37, 13, 2, 18, 2]",x[0]**((0.5942250656041724*x[0]*x[0]/(x[3]*x[5]))+(x[0]-cos(x[2])))**(x[0]-x[0]/(0.723323292631134*x[5])-((0.08992457266499854|_div_|0.08558322728806267)+0.33794059917606123)+cos(x[0]**x[0])/(x[0]*x[0]/(0.08756503566974927*x[5])*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
68,"[[0], [2, 2, 3, 0, 2, 3, 3, 3], [3], [0, 2, 2], [2, 0, 2], []]",2.2642029450255037,5,sin(_exp_(Constant)),"[1, 3, 0, 2, 1, 0]",sin(_exp_(0.5942250656041724)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
69,"[[0], [2, 1, 1, 0, 3, 3, 3, 1, 3, 3, 2, 1, 3, 3], [1, 2, 2, 4, 4], [4, 2, 2], [2, 2, 2, 1, 0, 0], [0]]",2.2698893165381415,7,_inv_(((Constant-Constant*Constant)*(x[0]**x[0]))),"[1, 10, 4, 1, 5, 1]",_inv_(((0.5942250656041724-0.723323292631134*0.08992457266499854)*(x[0]**x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
70,"[[0], [1, 3, 0, 1, 0, 2, 3, 0, 3, 3, 3, 1, 2, 4, 3, 3, 1, 3, 2, 3], [1, 4, 0, 3, 4, 3, 2], [0, 4, 1], [0, 1, 2, 1, 0, 1, 1, 2, 2], [5, 4, 4, 1]]",2.2907218271857945,9,(x[0]-(sin(x[5])**Constant+x[4]|_div_|x[0])**(_inv_(x[4]/(x[1]*x[5]))|_div_|(Constant*cos(Constant)))),"[1, 20, 7, 3, 9, 4]",(x[0]-(sin(x[5])**0.5942250656041724+x[4]|_div_|x[0])**(_inv_(x[4]/(x[1]*x[5]))|_div_|(0.723323292631134*cos(0.08992457266499854)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
71,"[[0], [2, 2, 4, 0, 2, 3, 3, 3], [3], [0, 2, 2], [2, 0, 2], []]",2.2969326525480893,8,sin(_exp_(_exp_(Constant)|_div_|x[0]/(Constant*x[5]))),"[1, 8, 1, 3, 3, 0]",sin(_exp_(_exp_(0.5942250656041724)|_div_|x[0]/(0.723323292631134*x[5]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
72,"[[0], [2, 0, 4, 3, 2, 3, 1, 2, 3, 1, 3, 3, 3, 0, 0, 3, 3, 2], [0, 3, 2, 3, 4, 2, 3], [0, 1, 1, 1, 4], [2, 0, 0, 2, 2, 0, 1, 2, 2, 2, 2], [5]]",2.3054887655545198,7,sin(Constant/(cos(x[0])*x[5])+(cos(x[0])|_div_|(Constant*Constant))),"[1, 12, 3, 3, 5, 0]",sin(0.5942250656041724/(cos(x[0])*x[5])+(cos(x[0])|_div_|(0.723323292631134*0.08992457266499854))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
73,"[[0], [2, 0, 4, 0, 2, 3, 3, 0, 2, 3, 0, 3, 3, 3], [0, 1, 2, 2], [3, 1, 3], [1, 0, 1, 1, 1, 2], [0, 0, 2, 4]]",2.3122548670273706,9,_log_(cos(x[0])+x[0]/(_log_(x[0])-x[2]*x[4]*x[5])*Constant),"[1, 14, 4, 3, 6, 4]",_log_(cos(x[0])+x[0]/(_log_(x[0])-x[2]*x[4]*x[5])*0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
74,"[[0], [2, 3], [], [4], [1], [0]]",2.313353242987935,5,_inv_(x[0]),"[1, 2, 0, 1, 1, 1]",_inv_(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
75,"[[0], [0, 2, 2, 1, 3, 2, 3, 2, 0, 2, 4, 3, 3, 3], [4, 3, 3], [3, 3, 1, 1, 4], [1, 0, 1, 2, 0], [2, 5]]",2.3147192658798574,9,_log_(_log_((x[2]**cos(x[0]))))|_div_|cos(_inv_(x[5]/(Constant*x[5]))|_div_|x[0]),"[1, 14, 3, 5, 5, 2]",_log_(_log_((x[2]**cos(x[0]))))|_div_|cos(_inv_(x[5]/(0.5942250656041724*x[5]))|_div_|x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
76,"[[0], [0, 3, 3], [0], [], [2, 1], [5]]",2.3210500638282796,5,Constant+x[5],"[1, 3, 1, 0, 2, 1]",0.5942250656041724+x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
77,"[[0], [0, 3, 3], [0], [], [2, 1], [5]]",2.3210500638282796,5,Constant+x[5],"[1, 3, 1, 0, 2, 1]",0.5942250656041724+x[5],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
78,"[[0], [1, 3, 1, 3, 0, 3, 2, 3, 4, 0, 0, 3, 3, 4, 3, 3, 1, 1, 3, 3, 4, 0, 0, 3], [4, 1, 0, 3, 3, 1, 1], [1], [2, 1, 2, 0, 2, 1, 2, 1, 0, 1, 1, 0], [0, 4, 1, 4, 0]]",2.321204401748186,7,(Constant**(x[0]-Constant+cos(x[0]))),"[1, 8, 3, 1, 4, 1]",(0.5942250656041724**(x[0]-0.723323292631134+cos(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
79,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
80,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
81,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
82,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
83,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
84,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
85,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
86,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
87,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
88,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
89,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
90,"[[0], [3], [], [], [2, 1, 0, 2, 2, 0, 0, 1, 1, 2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
91,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
92,"[[0], [3], [], [0], [2, 2, 1, 0, 2, 2, 1, 1, 2, 0, 0, 2, 2, 1], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
93,"[[0], [3], [], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
94,"[[0], [3], [2], [], [2], []]",2.3218646327146875,3,Constant,"[1, 1, 0, 0, 1, 0]",0.5942250656041724,"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
